id	filename	md5	size	state
2121a47f-dcd6-4134-8ee2-f23b2cc76863	TCGA-D7-6820-01Z-00-DX1.fe70ad91-42dc-470a-af2f-ba2e601084de.svs	f092e88b28a86812f42992507d29cf40	148173277	released
8e487485-116a-492c-8a09-786cbc940b53	TCGA-HF-7131-01Z-00-DX1.8A90BB8F-039E-41ED-9BB0-286F5CC9F6E4.svs	dc9b02872cc3a8182e39edb838253b8c	533735694	released
e23ccf69-2410-4af6-a0e0-9ef23211de16	TCGA-D7-8570-01Z-00-DX1.0B435CEF-B653-4D10-B2BD-6F9576C94389.svs	34c6c62f6e843194147dc045d2b47367	595420909	released
9f8bf716-57fa-40aa-b003-c2410796b92a	TCGA-XK-AAJ3-01Z-00-DX1.48C36FDF-232A-49BC-AAB5-4B8BFB215743.svs	95b2fb337d58cc9239de9fe086d8e329	610647293	released
bec39ffa-a8b7-4b85-85c4-3d917dcee907	TCGA-YL-A8SL-01Z-00-DX1.6758D124-1154-4D76-8569-72A1C148F64C.svs	002660b0fec7d4a9bc141a5c8c7b96f2	1601207006	released
7555ba36-2f12-4669-b942-3b377ffa22b6	TCGA-YL-A9WI-01Z-00-DX1.7BEF88F1-9093-41C0-834C-7DD4A332455E.svs	5f713e59d3ea925293babc774b6a7ac3	1493685984	released
9ef5628e-a9d9-430a-9391-a34c1db0fb3c	TCGA-YL-A9WI-01Z-00-DX3.51D0394E-FB44-4878-B761-9460D3833207.svs	be2f2cf10dd6c3ee1f9a5b0bdb0599a4	1742766972	released
b01f25f2-871f-4c5b-952a-3cd3f2299022	TCGA-HC-7741-01Z-00-DX1.77D97B8B-ECAB-4BB3-97F3-67BFE05E7F54.svs	9f7f5ad5e2fb3f07e331688cc809cda7	564255260	released
9788bfe0-f860-4579-ac3f-be194015557c	TCGA-X4-A8KS-01Z-00-DX4.34C5D87E-7598-49A7-B937-6CD2D7D64811.svs	a82abf98bc4bbd4841099ff21aaa00e2	1013650119	released
a1ab0837-d779-4921-b48f-bd387ada12b2	TCGA-YL-A9WI-01Z-00-DX4.DD0313AF-7339-45F1-B3CF-AE9C20679E7F.svs	876e5e4c53bbc38125749e9e9af61092	1588942216	released
c2b0e588-7c35-459f-9552-e019ac2dcd57	TCGA-X4-A8KQ-01Z-00-DX9.2527CB7F-2878-4D99-B81D-4F66B178DFF7.svs	8a05aa7a7f463c40253ec5d46e18e0d1	1921019941	released
cca3af0c-3e0e-4cfb-bb07-459c979a0bd5	TCGA-X4-A8KQ-01Z-00-DX4.5E255D3E-DBD1-43F6-828F-EC9792E6DBB4.svs	2f4b751a9f174904a2176ad65aa84ccf	1271695735	released
acc12df5-78e2-4c4b-a7aa-f7adb065c056	TCGA-X4-A8KQ-01Z-00-DX1.A9466A6A-9474-4F93-88EB-D21CC1CCD47C.svs	3be2b0af92ff7c7778e37eaaa6ce36fb	1074303009	released
33b7747f-49eb-4912-9fcb-b1ce09b60248	TCGA-X4-A8KQ-01Z-00-DX7.C8756796-ED65-47B2-A66E-C48A6CF345C1.svs	59b9dfa2e877b17eb84524542ce0849f	1767554129	released
28adf83e-1fb4-4dad-b0d2-95940886ebee	TCGA-YL-A8SL-01Z-00-DX3.D85D40A5-172E-4A33-97BE-54EF0FC01A75.svs	1739ec9df879eca1693aeee44d49cba6	1893005730	released
446bdbd3-4d4a-47d6-b746-64fd54552862	TCGA-YL-A8SL-01Z-00-DX4.EBF80535-B360-4F82-BBC2-C9092D1E23FC.svs	65144982f6596189c07df6dd654dac95	1787429468	released
bc158466-d0f8-48c9-986b-a43ee41048d3	TCGA-X4-A8KQ-01Z-00-DX3.31ACC93B-288F-4278-8C1D-D0BC3806CD44.svs	3eb1abe46443419dbf6bcc72ef6f7b3f	2583878845	released
314ae426-9fef-4a50-aee9-e533f6d1f0f2	TCGA-KM-A7QG-01Z-00-DX1.7275EEF1-1D4E-4471-89C3-5B99EC03515E.svs	2cf83157f16205687f5a215f93569505	1317800365	released
bb3e1bc4-b329-4d37-9b08-57938ac093e1	TCGA-UW-A72M-01Z-00-DX1.D2F473F4-24A1-4F02-B02E-C5A0390F0C8F.svs	b1fd28add0adc848d122c39449865082	2063858880	released
5a8e48bc-d9d0-4566-a304-6638619a4652	TCGA-KM-A7QB-01Z-00-DX1.CC441A0F-8A5C-4406-8A8D-86CB62E7B114.svs	7ef3ac8959b25860f9e58d9f8f74a848	1125133081	released
bd19313b-c879-431a-8435-21a54e50d79d	TCGA-UW-A72H-01Z-00-DX1.25A52BAA-4000-4AC7-9B93-9D9790C8834A.svs	e73914ff2e6156c600815fcf5fa1db2f	1288946082	released
